"网络类型","授权方向","授权策略","IP协议","端口范围","优先级","源IP地址段","源IPv6地址段","源安全组","源端安全组名称","源安全组所属阿里云账户ID","源端端口范围","目标IP地址段","目的IPv6地址段","目标安全组","目的端安全组名称","目标安全组所属阿里云账户ID","描述信息","创建时间(UTC)"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.121.251","","","","","-1/-1","","","","","","scan-47.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.87.250","","","","","-1/-1","","","","","","scan-21.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.108.109","","","","","-1/-1","","","","","","scan-92.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.70.102","","","","","-1/-1","","","","","","scan-85.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.115.7","","","","","-1/-1","","","","","","scan-53.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","103.29.70.204","","","","","-1/-1","","","","","","scan-19.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.94.242","","","","","-1/-1","","","","","","scan-78.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.126.103","","","","","-1/-1","","","","","","scan-29.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.71.210","","","","","-1/-1","","","","","","scan-18.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.118.185","","","","","-1/-1","","","","","","scan-44.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.75.112","","","","","-1/-1","","","","","","scan-46.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.208.132","","","","","-1/-1","","","","","","scan-106.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.83.10","","","","","-1/-1","","","","","","scan-1.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.152.10","","","","","-1/-1","","","","","","scan-87.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.113.212","","","","","-1/-1","","","","","","scan-40.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.77.6","","","","","-1/-1","","","","","","scan-30.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.116.133","","","","","-1/-1","","","","","","scan-66.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.66.65","","","","","-1/-1","","","","","","scan-39.security.ipip.net","2019-11-12T18:58:29Z"
